35.07340691,138.86877580
35.07247138,138.87017371
35.07157887,138.87146409
35.07079658,138.87238617
35.06996590,138.87334589
35.06869165,138.87463627
35.06722385,138.87546426
35.06815400,138.87686217
35.06863789,138.87677077
35.06905188,138.87655570
35.06901425,138.87632451
35.06924544,138.87592665
35.07012720,138.87514167
35.07089605,138.87452874
35.07207889,138.87345342
35.07286925,138.87264694
35.07362197,138.87210928
35.07378327,138.87220068
35.07433705,138.87153398
35.07464352,138.87119526
35.07341403,138.87037947
35.07396069,138.86931346
35.07340691,138.86877580
